"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C16,C36,C41,C9,C20,C37,C23,C45,C8,C39,C7,C33,C24";"C_0603_1608Metric";13;"4.7uF";;;
2;"R22,R31,R28,R24,R23,R26,R32";"R_0603_1608Metric";7;"10k";;;
3;"C34,C43,C5,C42,C35,C15,C22,C11,C31,C32,C38,C19,C29,C30,C10,C27,C40,C25,C3,C28,C12,C26,C21,C44,C17,C13,C14";"C_0603_1608Metric";27;"100nF";;;
4;"JP4";"PinHeader_1x02_P2.54mm_Vertical";1;"Bootloader";;;
5;"R12,R16,R8";"R_0603_1608Metric";3;"4300";;;
6;"R14,R6,R10";"R_0603_1608Metric";3;"1070";;;
7;"U2";"SOT-223-3_TabPin2";1;"LD1117S12";;;
8;"R30,R19,R27,R29,R25";"R_0603_1608Metric";5;"100";;;
9;"U3";"TQFP-144_20x20mm_P0.5mm";1;"XC6SLX9-2TQG144C";;;
10;"H4,H3,H1,H2";"MountingHole_3.2mm_M3";4;"MountingHole";;;
11;"R7,R11,R15";"R_0603_1608Metric";3;"2150";;;
12;"JP1,JP2";"PinHeader_1x02_P2.54mm_Vertical";2;"USB";;;
13;"C4,C2";"C_0805_2012Metric";2;"10uF";;;
14;"R2,R4";"R_0603_1608Metric";2;"330";;;
15;"J7";"PinHeader_2x06_P2.54mm_Vertical";1;"FPGA spare";;;
16;"FB1,FB2";"L_0603_1608Metric";2;"FerriteBead";;;
17;"SW1";"SW_E-Switch_EG2219_DPDT_Angled";1;"SW_DPDT_x2";;;
18;"R18,R17";"R_0603_1608Metric";2;"820";;;
19;"R34,R20";"R_0603_1608Metric";2;"1";;;
20;"U4";"TSOP-II-44_10.16x18.41mm_P0.8mm";1;"IS61C5128AL-10TLI";;;
21;"R13,R5,R9";"R_0603_1608Metric";3;"536";;;
22;"R1,R3";"R_0603_1608Metric";2;"150";;;
23;"JP3";"PinHeader_1x03_P2.54mm_Vertical";1;"DBG";;;
24;"J1";"AMPHENOL_10118194-0001LF";1;"Power in";;;
25;"U5";"SOT-223-3_TabPin2";1;"LDL1117S33R";;;
26;"J5";"PinHeader_2x07_P2.54mm_Vertical";1;"ESP32 spare";;;
27;"R33,R21";"R_0603_1608Metric";2;"220";;;
28;"J5";"TF-03A";1;"TF-03A";;;
29;"J4";"ICD15S13E4GV00LF";1;"VGA";;;
30;"J2";"USB_A_Molex_67643_Horizontal";1;"ESP USB Host";;;
31;"D1";"LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm";1;"SD act.";;;
32;"C1,C6";"CP_Elec_6.3x7.7";2;"100uF";;;
33;"X1";"Oscillator_SMD_SeikoEpson_SG8002CE-4Pin_3.2x2.5mm";1;"SX3M14.31818M20F30TNN";;;
34;"C18";"C_1206_3216Metric";1;"22uF";;;
35;"J3";"C2939180";1;"Audio out";;;
36;"U1";"ESP32-S3-WROOM-1U";1;"ESP32-S3-WROOM-1-N4R2";;;
37;"Q1";"SOT-23";1;"2N7002";;;
